Title,PriceMin,PriceMax,Sold,Rating,Shipping,Store,URL
Autumn Sneakers Shoes Vulcanized-Shoes Spring Walking Casual Fashion Women Ladies Mesh,8.25,9.66,32,4,0,Shop3900052 Store,https://www.aliexpress.com/item/4000619018949.html
Bling Sneakers Women Shoes Ladies Rhinestone Sneakers Female Casual Shoes Lightweight Sport Shoes Outdoors Zapatilias Mujer 43,11.36,13.16,39,5,0,Angela's Realphoto Mall,https://www.aliexpress.com/item/4000909616731.html
EAGSITY Shoes Pumps Wedges Slip-On-Sneaker Party Office Pointed-Toe Ladies Increasing,11.34,13.62,48,4.5,1.58,showfashion Store,https://www.aliexpress.com/item/4000105278527.html
Bathroom Slippers Massage Slides Men Nice Summer Woman Indoor Home Beach Unisex New,8.9,9.96,470,4.9,0,Sanzoog Official Store,https://www.aliexpress.com/item/33003033460.html
Basket Flats Vulcanized-Shoes Tenis Platform Women Sneakers Spring Feminino Female Autumn,7.37,9.44,58,4.1,2.85,Shop4643044 Store,https://www.aliexpress.com/item/4000824688827.html
White Platform Sneakers Trainers-Basket Tenis Air-Cushion Breathable Casual Women Ladies,7.19,14.69,544,4.8,0,Shop5175025 Store,https://www.aliexpress.com/item/4000077850778.html
Canvas Shoes Trainers Walking-Flats Fashion Sneakers Comfortable Women Mujer Low-Top,7.95,7.95,15,0,3.15,Healthy Sexy Life Store,https://www.aliexpress.com/item/4001084655197.html
Men Shoes Chaussure Footwear Italian Trend Male Luxury Brand England Breathable Sneakers,10.98,14.86,414,4.8,0,BTMOTTZ Official Store,https://www.aliexpress.com/item/4000669348147.html
VIP link-1,6.5,6.5,301,5,0,Amduine Bestshoes Store,https://www.aliexpress.com/item/4000825995750.html
Women's Summer Shoes Female Socks Sneakers For Woman Slip on Flats Loafers Ladies Casual Trainers Basket Femmes Tenis Feminino,5.54,6.24,5,0,5.26,Angela's Realphoto Mall,https://www.aliexpress.com/item/4001107971426.html
Shoes Woman Tenis Light-Street Feminino Big-Size Unisex Casual Fashion Summer Breathable,13.52,17.64,159,4.8,9.35,hemmyi 123 Store,https://www.aliexpress.com/item/4001026858519.html
Summer Sandals Slippers Shoes Croc Clogs Water-Mules Female Beach-Sports Men's Women,7.98,13.62,116,4.8,0,lufuma Store,https://www.aliexpress.com/item/4000475757488.html
Men Slippers Clogs Flip-Flops Mules Garden-Shoes Beach-Sandals Bathroom Casual Cheap,5.07,5.07,225,4.9,1.47,ROUND WAY Store,https://www.aliexpress.com/item/4000556317413.html
Male Slippers Sandals Flop-Shoes Non-Slide Flip Men Beach Summer High-Quality Flats Holiday,3.81,4.93,258,4.5,2.17,WFZCHYI Store,https://www.aliexpress.com/item/4000570205396.html
Eilyken Woman Pumps Shoes Slippers Mules Slides Crystal High-Heels Transparent Peep-Toe,17.55,21.06,389,4.7,0,Aneikeh Store,https://www.aliexpress.com/item/4000644414588.html
Women Shoes Sandals Pumps Pointed-Toe High-Heels Zapatos-De-Mujer Ladies Boat,10.66,11.64,72,4.4,0,loves sneakers Store,https://www.aliexpress.com/item/33013830334.html
Sneakers Women Flat-Shoes Vulcanized Walking-Mesh Breathable Fashion Gym,9.52,10.96,379,4.9,0,Old friend Store,https://www.aliexpress.com/item/33026237232.html
